"","address","latitude","longitude"
"0","Antwerp Belgium",51.2211097,4.3997081
"1","Wrocław Poland",51.1089776,17.0326689
"2","Lyon France",45.7578137,4.8320114
"3","Jiaxing China",30.7474425,120.7510971
"4","Dortmund Germany",51.5142273,7.4652789
"5","Poznan Poland",52.4082663,16.9335199
"6","Detroit United States",42.3315509,-83.0466403
"7","Shanghai China",31.2323437,121.4691024
"8","Miaoli Taiwan",24.5647667,120.8205167
"9","Hamburg Germany",53.550341,10.000654
"10","München Germany",48.1371079,11.5753822
"11","Halle Germany",51.4825041,11.9705452
"12","Essen Germany",51.4582235,7.0158171
"13","Hamburg Sankt Pauli Germany",53.5456924,9.9700895
"14","Wuppertal Germany",51.264018,7.1780374
"15","Dresden Germany",51.0493286,13.7381437
"16","Ninove Belgium",50.8214549,4.0037422031066825
"17","Dresden Germany",51.0493286,13.7381437
"18","Köln Germany",50.938361,6.959974
"19","Hamburg Germany",53.550341,10.000654
"20","München Germany",48.1371079,11.5753822
"21","Cottbus Germany",51.7567447,14.3357307
"22","Freiburg im Breisgau Germany",47.9960901,7.8494005
"23","Hamburg Sankt Pauli Germany",53.5456924,9.9700895
"24","Hannover Germany",52.3744779,9.7385532
"25","Namur Belgium",50.4665284,4.8661892
"26","München Germany",48.1371079,11.5753822
"27","Lübeck Germany",53.866444,10.684738
"28","Kassel Germany",51.3154546,9.4924096
"29","Hannover Germany",52.3744779,9.7385532
"30","Stuttgart Germany",48.7784485,9.1800132
"31","Bouillon Belgium",49.7949836,5.0672528
"32","Frankfurt am Main Germany",50.1106444,8.6820917
"33","Halle Germany",51.4825041,11.9705452
"34","Münster Germany",51.9625101,7.6251879
"35","Frankfurt am Main Germany",50.1106444,8.6820917
"36","Neuss Germany",51.1981778,6.6916476
"37","Stuttgart Germany",48.7784485,9.1800132
"38","Halle Germany",51.4825041,11.9705452
"39","Hamburg Harvestehude Germany",53.5771275,9.976742
"40","München Germany",48.1371079,11.5753822
"41","München Germany",48.1371079,11.5753822
"42","Charleroi Belgium",50.4116233,4.444528
"43","Kiel Germany",54.3227085,10.135555
"44","Dillenburg Germany",50.7404535,8.2874957
"45","Péruwelz Belgium",50.53332105,3.5636806619041073
"46","Düsseldorf Germany",51.2254018,6.7763137
"47","Heilbronn Germany",49.142291,9.218655
"48","Berlin Germany",52.5170365,13.3888599
"49","Köln Germany",50.938361,6.959974
"50","Berlin Germany",52.5170365,13.3888599
"51","Hamburg Germany",53.550341,10.000654
"52","Augsburg Germany",48.3690341,10.8979522
"53","Chemnitz Germany",50.8323531,12.918914
"54","Wetzlar Germany",50.5525346,8.5074406
"55","Hamburg Germany",53.550341,10.000654
"56","Ludwigshafen am Rhein Germany",49.4704113,8.4381568
"57","Bruxelles Belgium",50.8465573,4.351697
"58","Antwerpen Belgium",51.2211097,4.3997081
"59","Mülheim an der Ruhr Germany",51.4272925,6.8829192
"60","Lübeck Germany",53.866444,10.684738
"61","Hamburg Bramfeld Germany",53.603467949999995,10.075071808101228
"62","Witzenhausen Germany",51.3331901,9.8434192
"63","Bremen Germany",53.0758196,8.8071646
"64","Köln Germany",50.938361,6.959974
"65","Magdeburg Germany",52.1315889,11.6399609
"66","Hamburg Bramfeld Germany",53.603467949999995,10.075071808101228
"67","Halle Germany",51.4825041,11.9705452
"68","Hamburg Germany",53.550341,10.000654
"69","Berlin Germany",52.5170365,13.3888599
"70","Berlin Germany",52.5170365,13.3888599
"71","Berlin Germany",52.5170365,13.3888599
"72","Mons Belgium",50.4549568,3.951958
"73","München Germany",48.1371079,11.5753822
"74","Dortmund Germany",51.5142273,7.4652789
"75","Bremen Germany",53.0758196,8.8071646
"76","Köln Germany",50.938361,6.959974
"77","Dortmund Germany",51.5142273,7.4652789
"78","Berlin Germany",52.5170365,13.3888599
"79","Stuttgart Germany",48.7784485,9.1800132
"80","Wiesbaden Germany",50.0820384,8.2416556
"81","Berlin Germany",52.5170365,13.3888599
"82","Berlin Germany",52.5170365,13.3888599
"83","Bielefeld Germany",52.0191005,8.531007
"84","Hanau Germany",50.132881,8.9169797
"85","Hannover Germany",52.3744779,9.7385532
"86","Bouillon Belgium",49.7949836,5.0672528
"87","Frankfurt am Main Germany",50.1106444,8.6820917
"88","Berlin Germany",52.5170365,13.3888599
"89","Stuttgart Stuttgart-Mitte Germany",48.7856099,9.1833959
"90","Hamburg Winterhude Germany",53.60272475,10.002062235896307
"91","Essen Germany",51.4582235,7.0158171
"92","Solingen Germany",51.1721629,7.0845893
"93","Augsburg Germany",48.3690341,10.8979522
"94","Bruxelles Belgium",50.8465573,4.351697
"95","Dortmund Germany",51.5142273,7.4652789
"96","Hamburg Germany",53.550341,10.000654
"97","Wuppertal Germany",51.264018,7.1780374
"98","Mülheim an der Ruhr Germany",51.4272925,6.8829192
"99","Berlin Germany",52.5170365,13.3888599
"100","Wiesbaden Germany",50.0820384,8.2416556
"101","Berlin Germany",52.5170365,13.3888599
"102","Dresden Germany",51.0493286,13.7381437
"103","Hamburg Germany",53.550341,10.000654
"104","Hannover Germany",52.3744779,9.7385532
"105","Bruxelles Belgium",50.8465573,4.351697
"106","Heilbronn Germany",49.142291,9.218655
"107","Ninove Belgium",50.8214549,4.0037422031066825
"108","Gent Belgium",51.0538286,3.7250121
"109","Würzburg Germany",49.7933723,9.9309779
"110","Wiesbaden Germany",50.0820384,8.2416556
"111","Hamburg Sankt Pauli Germany",53.5456924,9.9700895
"112","Leipzig Germany",51.3406321,12.3747329
"113","Düsseldorf Germany",51.2254018,6.7763137
"114","Düsseldorf Germany",51.2254018,6.7763137
"115","Hamburg Germany",53.550341,10.000654
"116","Mons Belgium",50.4549568,3.951958
"117","Dresden Germany",51.0493286,13.7381437
"118","Hamburg Germany",53.550341,10.000654
"119","Düsseldorf Germany",51.2254018,6.7763137
"120","Frankfurt am Main Germany",50.1106444,8.6820917
"121","Stuttgart Germany",48.7784485,9.1800132
"122","Freiburg im Breisgau Germany",47.9960901,7.8494005
"123","Berlin Germany",52.5170365,13.3888599
"124","Remscheid Germany",51.1798706,7.1943544
"125","Wiesbaden Germany",50.0820384,8.2416556
"126","Nürnberg Germany",49.453872,11.077298
"127","Dortmund Germany",51.5142273,7.4652789
"128","Momignies Belgium",50.0087898,4.2142084834115705
"129","Hannover Germany",52.3744779,9.7385532
"130","München Germany",48.1371079,11.5753822
"131","Halle Germany",51.4825041,11.9705452
"132","Ninove Belgium",50.8214549,4.0037422031066825
"133","Hamburg Germany",53.550341,10.000654
"134","Wuppertal Germany",51.264018,7.1780374
"135","Gent Belgium",51.0538286,3.7250121
"136","München Germany",48.1371079,11.5753822
"137","Berlin Germany",52.5170365,13.3888599
"138","Dortmund Germany",51.5142273,7.4652789
"139","Freiburg im Breisgau Germany",47.9960901,7.8494005
"140","Münster Germany",51.9625101,7.6251879
"141","Braunschweig Germany",52.2646577,10.5236066
"142","Dortmund Germany",51.5142273,7.4652789
"143","Hamburg Bramfeld Germany",53.603467949999995,10.075071808101228
"144","Braunschweig Germany",52.2646577,10.5236066
"145","Chemnitz Germany",50.8323531,12.918914
"146","Péruwelz Belgium",50.53332105,3.5636806619041073
"147","Augsburg Germany",48.3690341,10.8979522
"148","Hamburg Sankt Pauli Germany",53.5456924,9.9700895
"149","Remscheid Germany",51.1798706,7.1943544
"150","Hamburg Germany",53.550341,10.000654
"151","Namur Belgium",50.4665284,4.8661892
"152","Dortmund Germany",51.5142273,7.4652789
"153","Berlin Germany",52.5170365,13.3888599
"154","Augsburg Germany",48.3690341,10.8979522
"155","Bouillon Belgium",49.7949836,5.0672528
"156","Hamburg Germany",53.550341,10.000654
"157","München Germany",48.1371079,11.5753822
"158","Würzburg Germany",49.7933723,9.9309779
"159","Bouillon Belgium",49.7949836,5.0672528
"160","Berlin Germany",52.5170365,13.3888599
"161","Wuppertal Germany",51.264018,7.1780374
"162","Dortmund Germany",51.5142273,7.4652789
"163","Münster Germany",51.9625101,7.6251879
"164","München Germany",48.1371079,11.5753822
"165","München Germany",48.1371079,11.5753822
"166","Gelsenkirchen Germany",51.5110321,7.0960124
"167","Berlin Germany",52.5170365,13.3888599
"168","Freiburg im Breisgau Germany",47.9960901,7.8494005
"169","Braunschweig Germany",52.2646577,10.5236066
"170","Tournai Belgium",50.6056458,3.3878179
"171","Offenbach Germany",50.1055002,8.7610698
"172","Berlin Germany",52.5170365,13.3888599
"173","Braunschweig Germany",52.2646577,10.5236066
"174","Hamburg Germany",53.550341,10.000654
"175","Düsseldorf Germany",51.2254018,6.7763137
"176","Köln Germany",50.938361,6.959974
"177","Köln Germany",50.938361,6.959974
"178","Dortmund Germany",51.5142273,7.4652789
"179","Nürnberg Germany",49.453872,11.077298
"180","Witzenhausen Germany",51.3331901,9.8434192
"181","Berlin Germany",52.5170365,13.3888599
"182","Bremerhaven Germany",53.5505392,8.5851945
"183","Frankfurt am Main Germany",50.1106444,8.6820917
"184","Hannover Germany",52.3744779,9.7385532
"185","München Germany",48.1371079,11.5753822
"186","Würzburg Germany",49.7933723,9.9309779
"187","Dortmund Germany",51.5142273,7.4652789
"188","Münster Germany",51.9625101,7.6251879
"189","Hamburg Germany",53.550341,10.000654
"190","Berlin Germany",52.5170365,13.3888599
"191","Dortmund Germany",51.5142273,7.4652789
"192","Antwerpen Belgium",51.2211097,4.3997081
"193","München Germany",48.1371079,11.5753822
"194","Bruxelles Belgium",50.8465573,4.351697
"195","Antwerpen Belgium",51.2211097,4.3997081
"196","Würzburg Germany",49.7933723,9.9309779
"197","Hamburg Germany",53.550341,10.000654
"198","Hannover Germany",52.3744779,9.7385532
"199","Ludwigshafen am Rhein Germany",49.4704113,8.4381568
"200","Tournai Belgium",50.6056458,3.3878179
"201","Offenbach Germany",50.1055002,8.7610698
"202","Bremen Germany",53.0758196,8.8071646
"203","Augsburg Germany",48.3690341,10.8979522
"204","Bremerhaven Germany",53.5505392,8.5851945
"205","Leipzig Germany",51.3406321,12.3747329
"206","Kiel Germany",54.3227085,10.135555
"207","Freiburg im Breisgau Germany",47.9960901,7.8494005
"208","Berlin Germany",52.5170365,13.3888599
"209","Antwerpen Belgium",51.2211097,4.3997081
"210","Hamburg Harvestehude Germany",53.5771275,9.976742
"211","Namur Belgium",50.4665284,4.8661892
"212","Nürnberg Germany",49.453872,11.077298
"213","München Germany",48.1371079,11.5753822
"214","München Germany",48.1371079,11.5753822
"215","Stuttgart Germany",48.7784485,9.1800132
"216","Berlin Germany",52.5170365,13.3888599
"217","Würzburg Germany",49.7933723,9.9309779
"218","Momignies Belgium",50.0087898,4.2142084834115705
"219","Heilbronn Germany",49.142291,9.218655
"220","Köln Germany",50.938361,6.959974
"221","München Germany",48.1371079,11.5753822
"222","Péruwelz Belgium",50.53332105,3.5636806619041073
"223","Köln Germany",50.938361,6.959974
"224","Hannover Germany",52.3744779,9.7385532
"225","Berlin Germany",52.5170365,13.3888599
"226","Hamburg Germany",53.550341,10.000654
"227","Berlin Germany",52.5170365,13.3888599
"228","Kiel Germany",54.3227085,10.135555
"229","Tournai Belgium",50.6056458,3.3878179
"230","Solingen Germany",51.1721629,7.0845893
"231","Hannover Germany",52.3744779,9.7385532
"232","Frankfurt am Main Germany",50.1106444,8.6820917
"233","Nürnberg Germany",49.453872,11.077298
"234","Hamburg Sankt Pauli Germany",53.5456924,9.9700895
"235","Hamburg Germany",53.550341,10.000654
"236","Bruxelles Belgium",50.8465573,4.351697
"237","Leipzig Germany",51.3406321,12.3747329
"238","Hamburg Germany",53.550341,10.000654
"239","Münster Germany",51.9625101,7.6251879
"240","Wuppertal Germany",51.264018,7.1780374
"241","Stuttgart Germany",48.7784485,9.1800132
"242","Gent Belgium",51.0538286,3.7250121
"243","Stuttgart Germany",48.7784485,9.1800132
"244","Ninove Belgium",50.8214549,4.0037422031066825
"245","Berlin Germany",52.5170365,13.3888599
"246","Wetzlar Germany",50.5525346,8.5074406
"247","Péruwelz Belgium",50.53332105,3.5636806619041073
"248","Ludwigshafen am Rhein Germany",49.4704113,8.4381568
"249","Duisburg Germany",51.434999,6.759562
"250","Offenbach Germany",50.1055002,8.7610698
"251","Hamburg Harvestehude Germany",53.5771275,9.976742
"252","Bochum Germany",51.4818111,7.2196635
"253","Essen Germany",51.4582235,7.0158171
"254","Hamburg Germany",53.550341,10.000654
"255","Hamburg Bramfeld Germany",53.603467949999995,10.075071808101228
"256","Frankfurt am Main Germany",50.1106444,8.6820917
"257","Stuttgart Germany",48.7784485,9.1800132
"258","Nürnberg Germany",49.453872,11.077298
"259","Dresden Germany",51.0493286,13.7381437
"260","Essen Germany",51.4582235,7.0158171
"261","Hamburg Germany",53.550341,10.000654
"262","Tournai Belgium",50.6056458,3.3878179
"263","Bouillon Belgium",49.7949836,5.0672528
"264","Neuss Germany",51.1981778,6.6916476
"265","Osnabrück Germany",52.2719595,8.047635
"266","Hamburg Germany",53.550341,10.000654
"267","Frankfurt am Main Germany",50.1106444,8.6820917
"268","Charleroi Belgium",50.4116233,4.444528
"269","Antwerpen Belgium",51.2211097,4.3997081
"270","Bremen Germany",53.0758196,8.8071646
"271","Stuttgart Germany",48.7784485,9.1800132
"272","Berlin Germany",52.5170365,13.3888599
"273","Hamburg Harvestehude Germany",53.5771275,9.976742
"274","Bouillon Belgium",49.7949836,5.0672528
"275","München Germany",48.1371079,11.5753822
"276","Dortmund Germany",51.5142273,7.4652789
"277","Hanau Germany",50.132881,8.9169797
"278","Frankfurt am Main Germany",50.1106444,8.6820917
"279","Hannover Germany",52.3744779,9.7385532
"280","Péruwelz Belgium",50.53332105,3.5636806619041073
"281","Leipzig Germany",51.3406321,12.3747329
"282","Remscheid Germany",51.1798706,7.1943544
"283","Hamburg Germany",53.550341,10.000654
"284","Freiburg im Breisgau Germany",47.9960901,7.8494005
"285","Bremerhaven Germany",53.5505392,8.5851945
"286","Hamburg Germany",53.550341,10.000654
"287","Mannheim Germany",49.4892913,8.4673098
"288","Leipzig Germany",51.3406321,12.3747329
"289","Essen Germany",51.4582235,7.0158171
"290","Kiel Germany",54.3227085,10.135555
"291","Hamburg Germany",53.550341,10.000654
"292","Hamburg Germany",53.550341,10.000654
"293","Kassel Germany",51.3154546,9.4924096
"294","Hanau Germany",50.132881,8.9169797
"295","Augsburg Germany",48.3690341,10.8979522
"296","Braunschweig Germany",52.2646577,10.5236066
"297","Bremen Germany",53.0758196,8.8071646
"298","Osnabrück Germany",52.2719595,8.047635
"299","Hamburg Germany",53.550341,10.000654
"300","Wuppertal Germany",51.264018,7.1780374
"301","Bremen Germany",53.0758196,8.8071646
"302","Berlin Germany",52.5170365,13.3888599
"303","Leipzig Germany",51.3406321,12.3747329
"304","Bremen Germany",53.0758196,8.8071646
"305","Offenbach Germany",50.1055002,8.7610698
"306","Berlin Germany",52.5170365,13.3888599
"307","Mainz Germany",50.0012314,8.2762513
"308","Bruxelles Belgium",50.8465573,4.351697
"309","Hamburg Germany",53.550341,10.000654
"310","Heilbronn Germany",49.142291,9.218655
"311","Berlin Germany",52.5170365,13.3888599
"312","Mönchengladbach Germany",51.1947131,6.4353792
"313","Ath Belgium",50.6311349,3.7769485
"314","Berlin Germany",52.5170365,13.3888599
"315","Nürnberg Germany",49.453872,11.077298
"316","Berlin Germany",52.5170365,13.3888599
"317","Bruxelles Belgium",50.8465573,4.351697
"318","Berlin Germany",52.5170365,13.3888599
"319","Köln Germany",50.938361,6.959974
"320","Wuppertal Germany",51.264018,7.1780374
"321","Duisburg Germany",51.434999,6.759562
"322","Dresden Germany",51.0493286,13.7381437
"323","Würzburg Germany",49.7933723,9.9309779
"324","Berlin Germany",52.5170365,13.3888599
"325","Hamburg Germany",53.550341,10.000654
"326","Wuppertal Germany",51.264018,7.1780374
"327","Berlin Germany",52.5170365,13.3888599
"328","Wiesbaden Germany",50.0820384,8.2416556
"329","Momignies Belgium",50.0087898,4.2142084834115705
"330","Würzburg Germany",49.7933723,9.9309779
"331","Berlin Germany",52.5170365,13.3888599
"332","Mainz Germany",50.0012314,8.2762513
"333","Aachen Germany",50.776351,6.083862
"334","Gelsenkirchen Germany",51.5110321,7.0960124
"335","Berlin Germany",52.5170365,13.3888599
"336","Nürnberg Germany",49.453872,11.077298
"337","Münster Germany",51.9625101,7.6251879
"338","Ath Belgium",50.6311349,3.7769485
"339","Remscheid Germany",51.1798706,7.1943544
"340","Kiel Germany",54.3227085,10.135555
"341","Hamburg Germany",53.550341,10.000654
"342","Hamburg Germany",53.550341,10.000654
"343","Berlin Germany",52.5170365,13.3888599
"344","Berlin Germany",52.5170365,13.3888599
"345","Aachen Germany",50.776351,6.083862
"346","Bouillon Belgium",49.7949836,5.0672528
"347","Stuttgart Germany",48.7784485,9.1800132
"348","Saarbrücken Germany",49.234362,6.996379
"349","Köln Germany",50.938361,6.959974
"350","Chemnitz Germany",50.8323531,12.918914
"351","Berlin Germany",52.5170365,13.3888599
"352","Kassel Germany",51.3154546,9.4924096
"353","Leipzig Germany",51.3406321,12.3747329
"354","Gent Belgium",51.0538286,3.7250121
"355","Berlin Germany",52.5170365,13.3888599
"356","Dortmund Germany",51.5142273,7.4652789
"357","Halle Germany",51.4825041,11.9705452
"358","München Germany",48.1371079,11.5753822
"359","Hamburg Winterhude Germany",53.60272475,10.002062235896307
"360","Mannheim Germany",49.4892913,8.4673098
"361","Berlin Germany",52.5170365,13.3888599
"362","Momignies Belgium",50.0087898,4.2142084834115705
"363","Berlin Germany",52.5170365,13.3888599
"364","Münster Germany",51.9625101,7.6251879
"365","Halle Germany",51.4825041,11.9705452
"366","Köln Germany",50.938361,6.959974
"367","Dresden Germany",51.0493286,13.7381437
"368","Düsseldorf Germany",51.2254018,6.7763137
"369","Ludwigshafen am Rhein Germany",49.4704113,8.4381568
"370","Tournai Belgium",50.6056458,3.3878179
"371","Hanau Germany",50.132881,8.9169797
"372","Dresden Germany",51.0493286,13.7381437
"373","Cottbus Germany",51.7567447,14.3357307
"374","Hamburg Sankt Pauli Germany",53.5456924,9.9700895
"375","Essen Germany",51.4582235,7.0158171
"376","Remscheid Germany",51.1798706,7.1943544
"377","Essen Germany",51.4582235,7.0158171
"378","Wuppertal Germany",51.264018,7.1780374
"379","Ath Belgium",50.6311349,3.7769485
"380","Bruxelles Belgium",50.8465573,4.351697
"381","Düsseldorf Germany",51.2254018,6.7763137
"382","Mons Belgium",50.4549568,3.951958
"383","Nürnberg Germany",49.453872,11.077298
"384","Leipzig Germany",51.3406321,12.3747329
"385","München Germany",48.1371079,11.5753822
"386","Wuppertal Germany",51.264018,7.1780374
"387","Wiesbaden Germany",50.0820384,8.2416556
"388","München Germany",48.1371079,11.5753822
"389","Köln Germany",50.938361,6.959974
"390","Mannheim Germany",49.4892913,8.4673098
"391","Hamburg Germany",53.550341,10.000654
"392","Köln Germany",50.938361,6.959974
"393","Berlin Germany",52.5170365,13.3888599
"394","Berlin Germany",52.5170365,13.3888599
"395","Duisburg Germany",51.434999,6.759562
"396","Augsburg Germany",48.3690341,10.8979522
"397","Aachen Germany",50.776351,6.083862
"398","Berlin Germany",52.5170365,13.3888599
"399","Essen Germany",51.4582235,7.0158171
"400","Hamburg Harvestehude Germany",53.5771275,9.976742
"401","Cottbus Germany",51.7567447,14.3357307
"402","Nürnberg Germany",49.453872,11.077298
"403","Hamburg Germany",53.550341,10.000654
"404","Dresden Germany",51.0493286,13.7381437
"405","Wuppertal Germany",51.264018,7.1780374
"406","Bielefeld Germany",52.0191005,8.531007
"407","Aachen Germany",50.776351,6.083862
"408","Charleroi Belgium",50.4116233,4.444528
"409","Berlin Germany",52.5170365,13.3888599
"410","Hannover Germany",52.3744779,9.7385532
"411","Berlin Germany",52.5170365,13.3888599
"412","Witzenhausen Germany",51.3331901,9.8434192
"413","Hamburg Sankt Pauli Germany",53.5456924,9.9700895
"414","Hamburg Germany",53.550341,10.000654
"415","Düsseldorf Germany",51.2254018,6.7763137
"416","Aachen Germany",50.776351,6.083862
"417","Mönchengladbach Germany",51.1947131,6.4353792
"418","Leipzig Germany",51.3406321,12.3747329
"419","Bruxelles Belgium",50.8465573,4.351697
"420","Düsseldorf Germany",51.2254018,6.7763137
"421","Rostock Germany",54.0886707,12.1400211
"422","Hannover Germany",52.3744779,9.7385532
"423","München Germany",48.1371079,11.5753822
"424","Bonn Germany",50.735851,7.10066
